Event Head; Event Num = 1
Packet Head; Packet Num = 0
Frame = 4; Sample 1 = 168; Sample 2 = 169
Frame = 5; Sample 1 = 170; Sample 2 = 171
Frame = 6; Sample 1 = 172; Sample 2 = 173
Frame = 7; Sample 1 = 174; Sample 2 = 175
Frame = 8; Sample 1 = 176; Sample 2 = 177
Frame = 9; Sample 1 = 178; Sample 2 = 179
Frame = 10; Sample 1 = 180; Sample 2 = 181
Frame = 11; Sample 1 = 182; Sample 2 = 183
Frame = 12; Sample 1 = 184; Sample 2 = 185
Frame = 13; Sample 1 = 186; Sample 2 = 187
Frame = 14; Sample 1 = 188; Sample 2 = 189
Frame = 15; Sample 1 = 190; Sample 2 = 191
Frame = 16; Sample 1 = 192; Sample 2 = 193
Frame = 17; Sample 1 = 194; Sample 2 = 195
Frame = 18; Sample 1 = 196; Sample 2 = 197
Frame = 19; Sample 1 = 198; Sample 2 = 199
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 5
Frame = 0; Sample 1 = 200; Sample 2 = 201
Frame = 1; Sample 1 = 202; Sample 2 = 203
Frame = 2; Sample 1 = 204; Sample 2 = 205
Frame = 3; Sample 1 = 206; Sample 2 = 207
Frame = 4; Sample 1 = 208; Sample 2 = 209
Frame = 5; Sample 1 = 210; Sample 2 = 211
Frame = 6; Sample 1 = 212; Sample 2 = 213
Frame = 7; Sample 1 = 214; Sample 2 = 215
Frame = 8; Sample 1 = 216; Sample 2 = 217
Frame = 9; Sample 1 = 218; Sample 2 = 219
Frame = 10; Sample 1 = 220; Sample 2 = 221
Frame = 11; Sample 1 = 222; Sample 2 = 223
Frame = 12; Sample 1 = 224; Sample 2 = 225
Frame = 13; Sample 1 = 226; Sample 2 = 227
Frame = 14; Sample 1 = 228; Sample 2 = 229
Frame = 15; Sample 1 = 230; Sample 2 = 231
Frame = 16; Sample 1 = 232; Sample 2 = 233
Frame = 17; Sample 1 = 234; Sample 2 = 235
Frame = 18; Sample 1 = 236; Sample 2 = 237
Frame = 19; Sample 1 = 238; Sample 2 = 239
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 6
Frame = 0; Sample 1 = 240; Sample 2 = 241
Frame = 1; Sample 1 = 242; Sample 2 = 243
Frame = 2; Sample 1 = 244; Sample 2 = 245
Frame = 3; Sample 1 = 246; Sample 2 = 247
Frame = 4; Sample 1 = 248; Sample 2 = 249
Frame = 5; Sample 1 = 250; Sample 2 = 251
Frame = 6; Sample 1 = 252; Sample 2 = 253
Frame = 7; Sample 1 = 254; Sample 2 = 255
Frame = 8; Sample 1 = 256; Sample 2 = 257
Frame = 9; Sample 1 = 258; Sample 2 = 259
Frame = 10; Sample 1 = 260; Sample 2 = 261
Frame = 11; Sample 1 = 262; Sample 2 = 263
Frame = 12; Sample 1 = 264; Sample 2 = 265
Frame = 13; Sample 1 = 266; Sample 2 = 267
Frame = 14; Sample 1 = 268; Sample 2 = 269
Frame = 15; Sample 1 = 270; Sample 2 = 271
Frame = 16; Sample 1 = 272; Sample 2 = 273
Frame = 17; Sample 1 = 274; Sample 2 = 275
Frame = 18; Sample 1 = 276; Sample 2 = 277
Frame = 19; Sample 1 = 278; Sample 2 = 279
