Event Head; Event Num = 17
Packet Head; Packet Num = 0
Frame = 0; Sample 1 = 3787; Sample 2 = 2903
Frame = 1; Sample 1 = 3803; Sample 2 = 2903
Frame = 2; Sample 1 = 3819; Sample 2 = 2903
Frame = 3; Sample 1 = 3835; Sample 2 = 2903
Frame = 4; Sample 1 = 3851; Sample 2 = 2903
Frame = 5; Sample 1 = 3867; Sample 2 = 2903
Frame = 6; Sample 1 = 3883; Sample 2 = 2903
Frame = 7; Sample 1 = 3899; Sample 2 = 2903
Frame = 8; Sample 1 = 3915; Sample 2 = 2903
Frame = 9; Sample 1 = 3931; Sample 2 = 2904
Frame = 10; Sample 1 = 3947; Sample 2 = 2904
Frame = 11; Sample 1 = 3963; Sample 2 = 2904
Frame = 12; Sample 1 = 3979; Sample 2 = 2904
Frame = 13; Sample 1 = 3995; Sample 2 = 2904
Frame = 14; Sample 1 = 4011; Sample 2 = 2904
Frame = 15; Sample 1 = 4027; Sample 2 = 2904
Frame = 16; Sample 1 = 4043; Sample 2 = 2904
Frame = 17; Sample 1 = 4059; Sample 2 = 2904
Frame = 18; Sample 1 = 4075; Sample 2 = 2904
Frame = 19; Sample 1 = 4091; Sample 2 = 2904
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 13
Frame = 0; Sample 1 = 11; Sample 2 = 2904
Frame = 1; Sample 1 = 27; Sample 2 = 2904
Frame = 2; Sample 1 = 43; Sample 2 = 2904
Frame = 3; Sample 1 = 59; Sample 2 = 2904
Frame = 4; Sample 1 = 75; Sample 2 = 2904
Frame = 5; Sample 1 = 91; Sample 2 = 2905
Frame = 6; Sample 1 = 107; Sample 2 = 2905
Frame = 7; Sample 1 = 123; Sample 2 = 2905
Frame = 8; Sample 1 = 139; Sample 2 = 2905
Frame = 9; Sample 1 = 155; Sample 2 = 2905
Frame = 10; Sample 1 = 171; Sample 2 = 2905
Frame = 11; Sample 1 = 187; Sample 2 = 2905
Frame = 12; Sample 1 = 203; Sample 2 = 2905
Frame = 13; Sample 1 = 219; Sample 2 = 2905
Frame = 14; Sample 1 = 235; Sample 2 = 2905
Frame = 15; Sample 1 = 251; Sample 2 = 2905
Frame = 16; Sample 1 = 267; Sample 2 = 2905
Frame = 17; Sample 1 = 283; Sample 2 = 2905
Frame = 18; Sample 1 = 299; Sample 2 = 2905
Frame = 19; Sample 1 = 315; Sample 2 = 2905
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 14
Frame = 0; Sample 1 = 331; Sample 2 = 2905
Frame = 1; Sample 1 = 347; Sample 2 = 2906
Frame = 2; Sample 1 = 363; Sample 2 = 2906
Frame = 3; Sample 1 = 379; Sample 2 = 2906
Frame = 4; Sample 1 = 395; Sample 2 = 2906
Frame = 5; Sample 1 = 411; Sample 2 = 2906
Frame = 6; Sample 1 = 427; Sample 2 = 2906
Frame = 7; Sample 1 = 443; Sample 2 = 2906
Frame = 8; Sample 1 = 459; Sample 2 = 2906
Frame = 9; Sample 1 = 475; Sample 2 = 2906
Frame = 10; Sample 1 = 491; Sample 2 = 2906
Frame = 11; Sample 1 = 507; Sample 2 = 2906
Frame = 12; Sample 1 = 523; Sample 2 = 2906
Frame = 13; Sample 1 = 539; Sample 2 = 2906
Frame = 14; Sample 1 = 555; Sample 2 = 2906
Frame = 15; Sample 1 = 571; Sample 2 = 2906
Frame = 16; Sample 1 = 587; Sample 2 = 2906
Frame = 17; Sample 1 = 603; Sample 2 = 2907
Frame = 18; Sample 1 = 619; Sample 2 = 2907
Frame = 19; Sample 1 = 635; Sample 2 = 2907
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 15
Frame = 0; Sample 1 = 651; Sample 2 = 2907
Frame = 1; Sample 1 = 667; Sample 2 = 2907
Frame = 2; Sample 1 = 683; Sample 2 = 2907
Frame = 3; Sample 1 = 699; Sample 2 = 2907
Frame = 4; Sample 1 = 715; Sample 2 = 2907
Frame = 5; Sample 1 = 731; Sample 2 = 2907
Frame = 6; Sample 1 = 747; Sample 2 = 2907
Frame = 7; Sample 1 = 763; Sample 2 = 2907
Frame = 8; Sample 1 = 779; Sample 2 = 2907
Frame = 9; Sample 1 = 795; Sample 2 = 2907
Frame = 10; Sample 1 = 811; Sample 2 = 2907
Frame = 11; Sample 1 = 827; Sample 2 = 2907
Frame = 12; Sample 1 = 843; Sample 2 = 2907
Frame = 13; Sample 1 = 859; Sample 2 = 2908
Frame = 14; Sample 1 = 875; Sample 2 = 2908
Frame = 15; Sample 1 = 891; Sample 2 = 2908
Frame = 16; Sample 1 = 907; Sample 2 = 2908
Frame = 17; Sample 1 = 923; Sample 2 = 2908
Frame = 18; Sample 1 = 939; Sample 2 = 2908
Frame = 19; Sample 1 = 955; Sample 2 = 2908
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 16
Frame = 0; Sample 1 = 971; Sample 2 = 2908
Frame = 1; Sample 1 = 987; Sample 2 = 2908
Frame = 2; Sample 1 = 1003; Sample 2 = 2908
Frame = 3; Sample 1 = 1019; Sample 2 = 2908
Frame = 4; Sample 1 = 1035; Sample 2 = 2908
